"","subject","activity","section","variable","value"
"1",1,"WALKING","train","tBodyAcc-mean()-X",0.277330758736842
"2",1,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.255461689622641
"3",1,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.289188320408163
"4",1,"SITTING","train","tBodyAcc-mean()-X",0.261237565425532
"5",1,"STANDING","train","tBodyAcc-mean()-X",0.278917629056604
"6",1,"LAYING","train","tBodyAcc-mean()-X",0.22159824394
"7",2,"WALKING","test","tBodyAcc-mean()-X",0.276426586440678
"8",2,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.247164790395833
"9",2,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.27761534806383
"10",2,"SITTING","test","tBodyAcc-mean()-X",0.27708735173913
"11",2,"STANDING","test","tBodyAcc-mean()-X",0.277911472222222
"12",2,"LAYING","test","tBodyAcc-mean()-X",0.281373403958333
"13",3,"WALKING","train","tBodyAcc-mean()-X",0.275567462068966
"14",3,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.260819873067797
"15",3,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.292423484693878
"16",3,"SITTING","train","tBodyAcc-mean()-X",0.257197599134615
"17",3,"STANDING","train","tBodyAcc-mean()-X",0.280046513278689
"18",3,"LAYING","train","tBodyAcc-mean()-X",0.275516852741935
"19",4,"WALKING","test","tBodyAcc-mean()-X",0.278582015166667
"20",4,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.270876696730769
"21",4,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.279965329555556
"22",4,"SITTING","test","tBodyAcc-mean()-X",0.27153827992
"23",4,"STANDING","test","tBodyAcc-mean()-X",0.280499745892857
"24",4,"LAYING","test","tBodyAcc-mean()-X",0.263559214981481
"25",5,"WALKING","train","tBodyAcc-mean()-X",0.27784234625
"26",5,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.268459469914894
"27",5,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.29354392712766
"28",5,"SITTING","train","tBodyAcc-mean()-X",0.273694139545455
"29",5,"STANDING","train","tBodyAcc-mean()-X",0.282544390892857
"30",5,"LAYING","train","tBodyAcc-mean()-X",0.278334325576923
"31",6,"WALKING","train","tBodyAcc-mean()-X",0.283658868070175
"32",6,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.268229355098039
"33",6,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.277045258145833
"34",6,"SITTING","train","tBodyAcc-mean()-X",0.276778487454545
"35",6,"STANDING","train","tBodyAcc-mean()-X",0.280346248596491
